RK	PLAYER	AGE	YDS/DRIVE	DRIVING ACC.	DRVE TOTAL	GREENS IN REG.	PUTT AVG.	SAVE PCT.
1	Ben Crane	42	281.1	67.5	0	64.9	1.762	66.0
2	Louis Oosthuizen	35	299.5	63.3	0	66.0	1.798	63.7
3	Webb Simpson	33	293.6	61.9	0	68.1	1.738	62.1
4	Matt Kuchar	40	287.8	63.0	0	67.2	1.759	62.0
5	Whee Kim	26	285.8	61.1	0	63.5	1.744	61.8
6	Zac Blair	--	279.5	62.8	0	66.5	1.758	61.6
7	Kevin Na	35	289.6	64.1	0	64.7	1.722	61.5
8	Justin Rose	38	303.7	64.9	0	70.4	1.723	61.3
9	Seamus Power	31	302.6	55.2	0	65.2	1.778	60.9
10 	Jason Day	30	309.7	58.1	0	66.0	1.712	60.9
11	Rickie Fowler	29	300.6	64.5	0	69.8	1.740	60.9
12	Rory Sabbatini	42	292.3	62.0	0	67.9	1.776	60.7
13	Rob Oppenheim	--	285.2	56.3	0	64.1	1.769	60.0
14	Phil Mickelson	48	300.7	51.6	0	65.0	1.693	59.5
15	Alex Cejka	47	286.7	66.5	0	63.8	1.756	59.3
16	Ben Martin	31	289.6	63.5	0	64.0	1.745	57.7
17	D.A. Points	41	280.8	60.5	0	60.2	1.778	57.7
18	Jonathan Byrd	40	291.7	58.6	0	68.2	1.779	57.6
19	Patrick Reed	28	298.3	54.4	0	63.5	1.744	57.5
20	Henrik Stenson	42	291.1	74.8	0	74.3	1.797	57.4
21	Cameron Smith	25	298.5	56.9	0	63.7	1.741	56.8
22	Brandt Snedeker	37	293.0	62.4	0	65.7	1.738	56.7
23	Peter Malnati	31	290.9	56.9	0	63.0	1.723	56.7
23 	Scott Stallings	33	299.7	56.0	0	65.9	1.787	56.7
25	Peter Uihlein	29	302.0	52.4	0	68.2	1.780	56.6
26	Aaron Baddeley	37	295.5	52.2	0	63.4	1.775	56.3
27	Rafael Cabrera Bello	34	294.8	67.5	0	71.0	1.763	56.1
28	Emiliano Grillo	26	294.8	69.9	0	69.2	1.752	56.0
29	Charles Howell III	39	300.6	62.5	0	69.8	1.781	55.8
30	Bill Haas	36	296.3	56.4	0	65.5	1.807	55.8
31	Danny Lee	28	290.6	62.6	0	65.1	1.742	55.6
32	Nick Taylor	30	292.7	60.9	0	67.7	1.797	55.6
33	Tyrrell Hatton	26	298.1	61.1	0	66.8	1.795	55.1
34	Cameron Percy	44	295.6	63.7	0	69.6	1.760	54.8
35	J.B. Holmes	36	306.1	57.1	0	65.3	1.765	54.5
36	Bud Cauley	28	295.4	60.8	0	64.3	1.763	54.4
37	Justin Thomas	25	311.9	57.8	0	69.5	1.707	54.2
38	Beau Hossler	23	300.0	60.5	0	67.9	1.748	54.2
39	Abraham Ancer	27	296.1	63.6	0	66.5	1.768	54.1
40	Jonathan Randolph	--	289.4	62.2	0	60.4	1.789	54.0
41	Brooks Koepka	28	313.0	56.3	0	68.3	1.746	54.0
42	Chris Kirk	33	289.8	64.6	0	68.2	1.760	54.0
43	Rory McIlroy	29	319.8	55.5	0	66.5	1.735	54.0
44	Patrick Cantlay	26	303.6	61.5	0	71.1	1.775	53.8
45	Jimmy Walker	40	298.5	52.9	0	62.6	1.749	53.6
46	Austin Cook	27	292.3	66.8	0	66.5	1.756	53.4
47	Chris Stroud	36	289.8	62.2	0	62.9	1.769	53.4
