RK	PLAYER	AGE	EAGLES	BIRDIES	PARS	BOGEYS	BIRDIES/RD	HOLES/EAGLE
1	Lee Janzen	54	1	10	38	5	3.333	54
2	Justin Thomas	25	17	356	825	178	4.341	83
3	Dustin Johnson	34	15	348	729	151	4.703	84
4	Hideki Matsuyama	26	14	284	739	163	3.944	87
5	Webb Simpson	33	18	330	1030	186	3.587	88
6	Conrad Shindler	30	11	191	645	139	3.411	92
7	Tony Finau	29	16	405	1015	230	4.133	106
8	Kiradech Aphibarnrat	29	7	159	427	144	3.457	108
8	Rafael Cabrera Bello	34	11	264	718	180	3.771	108
10	Keegan Bradley	32	15	339	1022	243	3.645	109
11	Stewart Cink	45	14	315	982	234	3.621	112
11	Gary Woodland	34	14	346	937	236	3.802	112
13	Cameron Percy	44	8	188	570	120	3.760	113
13	Matt Every	34	12	260	808	229	3.467	113
15	Bubba Watson	39	12	296	852	203	3.747	116
16	Rory McIlroy	29	9	244	649	141	4.000	118
17	D.A. Points	41	9	187	669	201	3.066	122
18	Brandon Harkins	32	14	374	1021	268	3.937	122
19	Ethan Tracy	--	10	227	759	198	3.338	122
20	J.B. Holmes	36	11	269	839	209	3.587	123
21	James Hahn	36	12	292	943	204	3.561	123
22	Bryson DeChambeau	25	13	391	947	227	4.204	123
23	Tommy Fleetwood	27	9	285	632	172	4.318	124
24	Phil Mickelson	48	12	375	848	217	4.310	125
25	Jason Kokrak	33	14	384	1108	253	3.879	127
26	Brooks Koepka	28	8	260	616	131	4.194	131
27	Rory Sabbatini	42	12	332	1011	220	3.730	134
28	Hudson Swafford	31	9	244	738	191	3.642	134
29	Patrick Reed	28	11	323	903	215	3.756	134
30	Chesson Hadley	31	13	390	1058	257	3.939	134
31	John Huh	28	12	333	1010	244	3.700	135
31	Matt Jones	38	8	225	666	156	3.629	135
33	Bronson Burgoon	31	9	263	769	179	3.812	138
33	Satoshi Kodaira	29	6	143	472	189	2.979	138
33	Alex Cejka	47	9	236	810	170	3.420	138
36	Brandt Snedeker	37	10	297	868	205	3.622	140
37	Ryan Palmer	42	8	248	674	175	3.937	142
38	Tyler Duncan	29	11	325	970	265	3.495	146
39	Richy Werenski	26	11	314	1020	246	3.413	147
40	Aaron Baddeley	37	9	260	835	205	3.333	148
41	Peter Uihlein	29	9	285	805	218	3.654	148
42	Kevin Kisner	34	9	268	877	187	3.436	152
42	Patrick Cantlay	26	9	306	835	203	3.825	152
44	Troy Merritt	32	10	315	945	242	3.706	153
45	Kevin Na	35	10	336	970	208	3.907	155
46	Ryan Blaum	34	9	295	848	228	3.782	156
46	Kevin Tway	30	12	391	1164	278	3.760	156
46	Harris English	29	9	281	869	219	3.603	156
49	Harold Varner III	28	10	307	985	231	3.449	157
50	Jonathan Byrd	40	7	216	717	151	3.484	159
51	Derek Fathauer	32	9	275	874	237	3.438	160
52	Whee Kim	26	10	322	994	238	3.618	160
53	Lanto Griffin	30	8	279	777	204	3.770	162
53	Grayson Murray	25	8	285	739	217	3.958	162
53	Tom Lovelady	25	9	317	864	231	3.914	162
53	Brendan Steele	35	7	233	680	199	3.478	162
53	Daniel Berger	25	8	268	801	199	3.526	162
58	Jon Rahm	23	7	293	664	168	4.439	165
59	Martin Laird	35	7	253	716	174	3.892	167
60	Xin-Jun Zhang	31	8	266	841	196	3.547	169
61	Charley Hoffman	41	8	285	833	221	3.563	171
62	Paul Casey	41	7	268	738	173	3.775	172
63	Ben Crane	42	6	201	695	145	3.407	177
64	Johnson Wagner	38	7	252	824	146	3.652	177
65	Bill Haas	36	7	226	816	197	3.054	180
65	Rickie Fowler	29	7	296	788	147	4.000	180
65	Byeong Hun An	27	8	307	899	195	3.655	180
65	Andrew Landry	31	8	280	914	207	3.500	180
65	Kevin Chappell	32	7	280	735	207	3.784	180
65	Branden Grace	30	6	236	649	174	3.688	180
71	Jonas Blixt	34	6	192	692	182	3.148	183
71	Brett Stegmaier	--	6	231	688	150	3.787	183
73	Billy Horschel	31	8	321	942	188	3.915	185
74	Talor Gooch	26	7	245	823	198	3.403	185
75	Zach Johnson	42	8	336	930	203	3.862	187
76	Beau Hossler	23	10	394	1193	239	3.788	187
76	Matt Atkins	27	5	182	574	155	3.500	187
76	Henrik Stenson	42	5	204	604	110	3.643	187
79	Sean O'Hair	36	6	215	718	170	3.413	189
79	Fabian Gomez	39	8	285	987	204	3.393	189
81	Cameron Tringale	31	6	203	715	174	3.222	189
82	Shawn Stefani	36	7	269	841	193	3.635	190
82	Jordan Spieth	25	7	316	819	169	4.158	190
84	Chris Kirk	33	10	400	1235	241	3.774	191
85	Billy Hurley III	36	6	209	716	203	3.266	192
86	Marc Leishman	34	8	356	923	239	3.956	194
86	Russell Knox	33	8	314	979	222	3.489	194
88	Keith Mitchell	26	9	397	1053	242	4.093	194
89	Cameron Smith	25	7	288	849	201	3.692	195
90	Jamie Lovemark	30	8	331	992	225	3.761	198
90	Tiger Woods	42	6	274	735	153	4.029	198
92	Ryan Moore	35	7	273	936	176	3.500	201
93	Alexander Noren	36	5	208	632	147	3.467	202
94	Chad Campbell	44	7	243	921	232	3.076	203
95	Rob Oppenheim	--	6	236	773	184	3.471	204
96	Adam Schenk	26	7	263	927	217	3.288	206
96	Sam Ryder	--	7	307	915	182	3.838	206
98	Luke List	33	8	367	1026	244	3.863	209
99	Michael Kim	25	6	241	770	210	3.443	210
100	Nate Lashley	--	4	161	556	112	3.426	212
101	Ricky Barnes	37	5	240	629	163	4.068	212
101	Lucas Glover	38	5	212	665	159	3.475	212
103	Chez Reavie	36	7	319	964	196	3.709	216
103	David Hearn	39	5	218	678	164	3.633	216
105	Ted Potter Jr.	34	7	311	923	260	3.575	219
105	Sung Kang	31	7	292	936	247	3.435	219
105	Joel Dahmen	30	7	319	987	196	3.753	219
105	Jhonattan Vegas	34	7	305	939	246	3.427	219
109	Jimmy Walker	40	6	279	790	206	3.623	219
110	Danny Lee	28	7	329	964	208	3.826	221
111	Tyrrell Hatton	26	4	181	571	127	3.352	225
112	Scott Stallings	33	7	315	1010	225	3.500	226
113	Adam Scott	38	6	293	835	208	3.756	228
114	Xander Schauffele	24	7	354	960	255	3.806	229
114	Patton Kizzire	32	7	336	1004	215	3.775	229
114	Patrick Rodgers	26	7	343	971	251	3.688	229
117	Nick Watney	37	7	330	1028	224	3.667	231
118	Dominic Bozzelli	--	5	232	722	187	3.569	234
119	Kelly Kraft	30	7	305	1059	250	3.315	237
120	Jason Day	30	5	284	717	168	4.176	238
121	Francesco Molinari	35	5	264	732	172	3.771	238
122	Tom Hoge	29	7	354	1025	254	3.806	239
123	Trey Mullinax	26	5	264	716	195	3.826	241
124	Shane Lowry	31	4	194	603	153	3.464	243
125	Brice Garnett	35	7	331	1095	249	3.484	244
126	Charles Howell III	39	7	355	1114	233	3.550	247
127	Brian Gay	46	7	386	1081	251	3.822	249
128	Russell Henley	29	5	273	763	192	3.689	252
128	C.T. Pan	26	7	371	1126	230	3.786	252
130	Graeme McDowell	39	4	197	647	155	3.339	257
131	Brian Harman	31	6	336	933	244	3.733	258
131	Aaron Wise	22	6	362	919	234	4.114	258
133	Adam Hadwin	30	6	320	990	230	3.596	261
134	Chris Stroud	36	5	256	827	196	3.507	263
135	Jason Dufner	41	4	215	657	176	3.359	270
135	Stephan Jaeger	--	5	258	864	201	3.440	270
137	Scott Piercy	39	5	293	833	217	3.663	274
137	Robert Garrigus	40	5	286	830	225	3.763	274
139	William McGirt	39	5	259	941	179	3.321	281
140	Denny McCarthy	--	4	220	743	152	3.492	284
141	Jonathan Randolph	--	4	206	743	185	3.169	293
142	Zecheng Dou	--	3	154	535	165	3.143	294
