RK	PLAYER	AGE	EVENTS	ROUNDS	CUTS MADE	TOP 10	WINS	CUP POINTS	EARNINGS
1	Justin Thomas	25	23	82	21	10	3	1,610	$8,694,821.00
2	Dustin Johnson	34	20	74	19	12	3	2,056	$8,457,352.00
3	Justin Rose	38	18	66	17	11	2	2,260	$8,130,678.00
4	Bryson DeChambeau	25	26	93	22	9	3	2,188	$8,094,489.00
5	Brooks Koepka	28	17	62	15	6	2	1,093	$7,094,047.00
6	Bubba Watson	39	24	79	19	6	3	918	$5,793,748.00
7	Tony Finau	29	28	98	25	11	0	1,732	$5,620,138.00
8	Tiger Woods	42	18	68	16	7	1	2,219	$5,443,841.00
9	Webb Simpson	33	26	92	23	9	1	844	$5,376,417.00
10	Jason Day	30	20	68	18	5	2	564	$5,087,461.00
11	Francesco Molinari	35	20	70	17	5	2	512	$5,065,842.00
12	Patrick Reed	28	26	86	20	7	1	438	$5,006,267.00
13	Phil Mickelson	48	24	87	21	6	1	448	$4,595,187.00
14	Rory McIlroy	29	18	61	14	7	1	602	$4,410,296.00
15	Billy Horschel	31	27	82	17	6	1	1,840	$4,315,200.00
16	Rickie Fowler	29	20	74	17	6	0	512	$4,235,237.00
17	Keegan Bradley	32	27	93	23	5	1	1,253	$4,069,464.00
18	Xander Schauffele	24	27	93	22	7	0	581	$4,047,538.00
19	Jon Rahm	23	20	66	16	5	1	422	$3,992,678.00
20	Patrick Cantlay	26	23	80	21	7	1	453	$3,963,962.00
21	Tommy Fleetwood	27	19	66	18	6	0	483	$3,935,147.00
22	Kyle Stanley	30	26	88	20	5	0	373	$3,916,001.00
23	Marc Leishman	34	25	90	22	6	0	284	$3,771,221.00
24	Paul Casey	41	20	71	18	5	1	403	$3,641,771.00
25	Cameron Smith	25	24	78	18	7	0	660	$3,622,607.00
26	Kevin Na	35	26	86	20	4	1	336	$3,578,316.00
27	Patton Kizzire	32	29	89	18	4	2	275	$3,541,151.00
28	Aaron Wise	22	29	88	16	4	1	418	$3,486,407.00
29	Gary Woodland	34	27	91	21	3	1	385	$3,108,907.00
30	Kevin Kisner	34	25	78	18	4	0	1,132	$2,972,285.00
31	Pat Perez	42	23	75	19	4	1	1,190	$2,962,641.00
32	Jordan Spieth	25	23	76	18	5	0	1,323	$2,793,536.00
33	Chesson Hadley	31	30	99	23	7	0	1,163	$2,768,863.00
34	Brian Harman	31	25	90	22	8	0	1,129	$2,733,463.00
35	Ian Poulter	42	20	64	16	4	1	1,090	$2,714,450.00
36	Luke List	33	29	95	20	5	0	1,150	$2,710,736.00
37	Chez Reavie	36	28	86	19	3	0	1,252	$2,700,018.00
38	Alexander Noren	36	18	60	14	3	0	1,169	$2,699,150.00
39	Hideki Matsuyama	26	21	72	18	4	0	602	$2,687,477.00
40	Henrik Stenson	42	16	56	14	5	0	990	$2,680,487.00
41	Andrew Landry	31	27	80	15	5	1	1,225	$2,642,179.00
42	Byeong Hun An	27	24	84	19	4	0	1,170	$2,599,264.00
43	Emiliano Grillo	26	25	92	22	6	0	1,270	$2,493,163.00
44	Ryan Armour	42	32	107	22	3	1	1,113	$2,485,203.00
45	Rafael Cabrera Bello	34	20	70	18	5	0	1,175	$2,449,869.00
46	Beau Hossler	23	28	104	24	5	0	1,134	$2,449,707.00
47	Brandt Snedeker	37	25	82	17	4	1	1,188	$2,448,970.00
48	Austin Cook	27	29	107	24	3	1	1,203	$2,448,920.00
49	Andrew Putnam	29	28	89	21	5	1	1,267	$2,387,382.00
50	Brendan Steele	35	22	67	16	3	1	1,015	$2,291,128.00
51	Si Woo Kim	23	31	104	23	5	0	1,026	$2,276,114.00
52	Adam Scott	38	21	78	18	3	0	1,081	$2,237,641.00
53	Charles Howell III	39	28	100	24	4	0	1,041	$2,179,725.00
54	Brian Gay	46	30	101	22	6	0	949	$2,152,501.00
55	Jimmy Walker	40	23	77	17	4	0	741	$2,027,312.00
56	Ryan Moore	35	22	78	17	5	0	806	$1,986,608.00
57	J.J. Spaun	28	27	79	16	4	0	919	$1,978,906.00
58	Ted Potter Jr.	34	28	87	15	1	1	889	$1,976,198.00
59	Zach Johnson	42	25	87	23	2	0	981	$1,957,635.00
60	Tyrrell Hatton	26	16	54	13	4	0	1,041	$1,943,360.00
61	Adam Hadwin	30	25	89	22	3	0	1,226	$1,932,488.00
62	Whee Kim	26	30	89	16	3	0	805	$1,920,340.00
63	Stewart Cink	45	25	87	18	3	0	775	$1,887,208.00
64	Scott Piercy	39	26	80	17	2	1	872	$1,882,337.00
65	C.T. Pan	26	30	98	22	2	0	1,238	$1,881,787.00
66	Chris Kirk	33	29	106	24	4	0	888	$1,824,111.00
67	Peter Uihlein	29	26	78	16	4	0	911	$1,797,715.00
68	Jason Kokrak	33	29	99	21	4	0	1,053	$1,794,431.00
69	Louis Oosthuizen	35	17	54	14	3	0	847	$1,731,493.00
70	Daniel Berger	25	23	76	18	1	0	839	$1,721,763.00
71	Matt Kuchar	40	24	80	20	4	0	740	$1,720,097.00
72	Charl Schwartzel	34	20	58	13	3	0	528	$1,710,179.00
73	Abraham Ancer	27	30	96	20	5	0	938	$1,676,695.00
74	Keith Mitchell	26	29	97	21	4	0	878	$1,641,260.00
75	Kevin Chappell	32	23	74	16	4	0	667	$1,608,338.00
76	J.B. Holmes	36	24	75	14	3	0	668	$1,595,942.00
77	Branden Grace	30	18	64	16	2	0	634	$1,529,289.00
78	Kevin Streelman	39	27	92	20	5	0	724	$1,523,642.00
79	Russell Henley	29	23	74	16	3	0	589	$1,516,438.00
80	Jason Dufner	41	22	64	14	2	0	557	$1,497,655.00
81	Kelly Kraft	30	31	92	16	3	0	627	$1,496,253.00
82	Ryan Palmer	42	22	63	13	3	0	916	$1,484,445.00
83	Joel Dahmen	30	28	85	19	3	0	676	$1,476,838.00
84	Satoshi Kodaira	29	18	48	8	1	1	600	$1,471,462.00
85	Brice Garnett	35	30	95	20	2	1	933	$1,466,224.00
86	Anirban Lahiri	31	24	82	17	4	0	566	$1,441,205.00
87	Russell Knox	33	27	90	20	3	0	629	$1,424,030.00
88	Nick Watney	37	26	90	21	1	0	760	$1,402,833.00
89	Charley Hoffman	41	25	80	19	0	0	689	$1,400,637.00
90	James Hahn	36	26	82	17	1	0	666	$1,386,301.00
91	Michael Kim	25	27	70	10	1	1	675	$1,379,736.00
92	Kevin Tway	30	31	104	24	3	0	643	$1,379,544.00
93	Jamie Lovemark	30	26	88	20	3	0	664	$1,377,286.00
94	Tom Hoge	29	31	93	20	3	0	608	$1,358,542.00
95	Troy Merritt	32	27	85	17	3	1	616	$1,326,989.00
96	Ollie Schniederjans	25	27	87	19	3	0	573	$1,303,610.00
97	Patrick Rodgers	26	30	93	19	3	0	541	$1,287,040.00
98	Danny Lee	28	30	86	15	3	0	587	$1,269,386.00
99	Sung Kang	31	29	85	16	2	0	490	$1,243,309.00
100	Harold Varner III	28	27	89	18	3	0	524	$1,223,064.00
101	Alex Cejka	47	24	69	16	2	0	524	$1,198,541.00
102	Trey Mullinax	26	24	69	14	3	0	550	$1,184,245.00
103	Bronson Burgoon	31	24	69	11	2	0	718	$1,179,616.00
104	Brandon Harkins	32	30	95	21	3	0	545	$1,148,115.00
105	Scott Stallings	33	30	90	18	2	0	608	$1,147,573.00
106	Jhonattan Vegas	34	27	89	20	1	0	598	$1,137,444.00
107	Rory Sabbatini	42	27	89	19	1	0	521	$1,126,057.00
108	Sean O'Hair	36	22	63	12	2	0	526	$1,104,865.00
109	Brian Stuard	35	32	97	19	3	0	654	$1,089,763.00
110	Richy Werenski	26	32	92	17	2	0	498	$1,081,283.00
111	Scott Brown	35	32	98	19	2	0	422	$1,076,678.00
112	Grayson Murray	25	22	72	15	2	0	438	$1,056,628.00
113	Sam Ryder	--	26	80	15	3	0	551	$1,046,166.00
114	Martin Laird	35	22	65	14	3	0	453	$1,017,580.00
115	Sam Saunders	31	26	74	14	4	0	437	$981,936.00
116	Ryan Blaum	34	28	78	14	2	0	433	$980,877.00
117	John Huh	28	29	90	18	2	0	480	$974,538.00
118	Vaughn Taylor	42	25	79	16	3	0	445	$965,691.00
119	Tyler Duncan	29	31	93	17	2	0	457	$944,021.00
120	J.T. Poston	--	22	71	14	2	0	448	$940,661.00
121	William McGirt	39	26	78	16	3	0	449	$933,327.00
122	Bud Cauley	28	17	53	11	2	0	405	$900,591.00
123	Nick Taylor	30	30	90	17	2	0	420	$899,373.00
124	Sergio Garcia	38	15	0	7	3	0	362	$878,354.00
125	Martin Piller	32	28	77	11	2	0	371	$847,304.00
126	Thomas Pieters	26	11	0	10	1	0	0	$813,227.00
127	Chad Campbell	44	28	79	15	2	0	361	$801,960.00
128	Harris English	29	31	78	11	2	0	383	$799,450.00
129	Benjamin Silverman	--	28	84	17	2	0	323	$793,140.00
130	Seamus Power	31	28	78	15	2	0	455	$791,018.00
131	Lucas Glover	38	18	61	15	1	0	324	$789,382.00
132	Tyrone Van Aswegen	36	31	93	20	1	0	364	$763,584.00
133	Corey Conners	26	28	93	20	1	0	353	$728,296.00
134	Aaron Baddeley	37	27	78	15	1	0	342	$725,928.00
135	Derek Fathauer	32	28	80	14	1	0	316	$708,712.00
136	Robert Garrigus	40	27	76	13	1	0	353	$702,030.00
137	Tom Lovelady	25	28	81	15	2	0	332	$700,783.00
138	Shane Lowry	31	19	56	13	0	0	296	$696,897.00
139	Jim Furyk	48	15	48	10	2	0	291	$660,010.00
140	Johnson Wagner	38	21	69	16	0	0	338	$656,322.00
141	Talor Gooch	26	27	72	12	0	0	308	$654,200.00
142	Bill Haas	36	25	74	14	1	0	0	$638,414.00
143	David Hearn	39	21	60	11	2	0	315	$622,383.00
144	Ben Crane	42	21	59	11	1	0	267	$620,646.00
145	David Lingmerth	31	26	78	16	0	0	274	$616,758.00
146	Nicholas Lindheim	33	26	69	13	1	0	272	$593,842.00
147	Steve Stricker	51	12	0	9	0	0	274	$582,566.00
148	Graeme McDowell	39	20	59	13	1	0	274	$581,024.00
149	Hudson Swafford	31	22	67	15	0	0	0	$569,391.00
150	Chris Stroud	36	27	73	15	1	0	0	$565,466.00
151	Michael Thompson	33	19	58	12	0	0	280	$563,972.00
152	Retief Goosen	49	20	52	10	1	0	0	$545,364.00
153	Matt Jones	38	23	62	11	0	0	0	$538,681.00
154	Ben Martin	31	20	64	12	1	0	266	$532,936.00
155	Shawn Stefani	36	25	74	12	1	0	268	$523,204.00
156	Mackenzie Hughes	27	28	76	11	1	0	0	$518,476.00
157	Denny McCarthy	--	22	63	13	1	0	267	$498,341.00
158	Wesley Bryan	--	23	67	12	0	0	0	$498,166.00
159	J.J. Henry	43	28	75	13	1	0	0	$482,052.00
160	Adam Schenk	26	28	80	14	1	0	0	$474,923.00
